imdbID,Countrys_English,Countrys_Spanish,Countrys_European,Countrys_Asian,Countrys_Arabic,Countrys_Other
tt0102749,1,0,0,0,0,0
tt0102753,1,0,0,0,0,0
tt0102757,1,0,0,0,0,0
tt0102782,1,0,0,0,0,0
tt0102798,1,0,0,0,0,0
tt0102802,1,0,0,0,0,0
tt0102803,1,0,0,0,0,0
tt0102818,1,0,0,0,0,0
tt0102849,1,0,0,0,0,0
tt0102900,1,0,0,0,0,0
tt0102915,1,0,0,0,0,0
tt0102926,1,0,0,0,0,0
tt0102945,1,0,0,0,0,0
tt0102975,1,0,0,0,0,0
tt0103007,1,0,0,1,0,0
tt0103064,1,0,1,0,0,0
tt0103074,1,0,1,0,0,0
tt0103241,1,0,0,0,0,0
tt0103247,1,0,0,0,0,0
tt0103594,0,1,1,0,0,0
tt0103639,1,0,0,0,0,0
tt0103644,1,0,0,0,0,0
tt0103759,1,0,0,0,0,0
tt0103772,1,0,1,0,0,0
tt0103776,1,0,0,0,0,0
tt0103855,1,0,0,0,0,0
tt0103859,1,0,0,0,0,0
tt0103873,0,0,0,0,0,1
tt0103874,1,0,0,0,0,0
tt0103919,1,0,0,0,0,0
tt0103924,1,0,0,0,0,0
tt0103956,1,0,0,0,0,0
tt0103962,1,1,0,0,0,0
tt0103976,1,0,1,0,0,0
tt0103977,1,0,0,0,0,0
tt0104006,1,0,0,0,0,0
tt0104036,1,0,0,1,0,0
tt0104107,1,0,0,0,0,0
tt0104109,1,0,1,0,0,0
tt0104215,1,0,0,0,0,0
tt0104231,1,0,0,0,0,0
tt0104257,1,0,0,0,0,0
tt0104348,1,0,0,0,0,0
tt0104376,1,0,0,0,0,0
tt0104389,1,0,0,0,0,0
tt0104409,1,0,0,0,0,0
tt0104431,1,0,0,0,0,0
tt0104437,1,0,0,0,0,0
tt0104549,1,0,0,0,0,0
tt0104558,0,0,0,0,0,1
tt0104573,1,0,0,0,0,0
tt0104691,1,0,0,0,0,0
tt0104692,1,0,0,1,0,0
tt0104694,1,0,0,0,0,0
tt0104714,1,0,0,0,0,0
tt0104779,1,0,1,0,0,0
tt0104797,1,0,0,1,0,0
tt0104815,1,0,0,0,0,0
tt0104850,1,0,1,0,0,0
tt0104868,1,0,0,0,0,0
tt0104928,1,0,0,0,0,0
tt0104952,1,0,0,0,0,0
tt0105017,1,0,0,0,0,0
tt0105078,1,0,0,0,0,0
tt0105104,1,0,0,0,0,0
tt0105112,1,0,0,0,0,0
tt0105128,1,0,0,0,0,0
tt0105151,1,0,0,0,0,0
tt0105211,1,0,0,0,0,0
tt0105219,1,0,0,0,0,0
tt0105236,1,0,0,0,0,0
tt0105323,1,0,0,0,0,0
tt0105378,1,0,0,0,0,0
tt0105399,0,0,0,0,0,1
tt0105414,1,0,0,0,0,0
tt0105488,1,0,0,0,0,0
tt0105508,1,0,0,0,0,0
tt0105652,0,0,0,1,0,0
tt0105665,1,0,1,0,0,0
tt0105690,1,0,1,0,0,0
tt0105695,1,0,0,0,0,0
tt0105793,1,0,0,0,0,0
tt0105824,1,0,0,0,0,0
tt0106226,1,0,0,0,0,0
tt0106233,1,0,0,0,0,0
tt0106246,1,0,0,0,0,0
tt0106364,1,0,0,0,0,0
tt0106375,1,0,0,0,0,0
tt0106447,1,0,0,0,0,0
tt0106452,1,0,0,0,0,0
tt0106453,1,0,1,0,0,0
tt0106464,1,0,0,0,0,0
tt0106489,1,0,0,0,0,0
tt0106505,1,0,0,0,0,0
tt0106519,1,0,0,0,0,0
tt0106521,1,0,0,0,0,0
tt0106557,1,0,0,0,0,0
tt0106582,1,0,1,0,0,0
tt0106611,1,0,0,0,0,0
tt0106627,1,0,0,0,0,0
tt0106664,1,0,0,0,0,0
tt0106677,1,0,0,0,0,0
tt0106697,1,0,0,0,0,0
tt0106701,1,0,0,0,0,0
tt0106761,1,0,1,0,0,0
tt0106770,1,0,0,0,0,0
