imdbID,Title,YearSinceRelease,AAMP Rating,Runtime,Genre,AvgDirectorRating,AvgWriterRating,AvgCastRating,imdbRating,Language,Country,Budget,Revenue
tt0102526,New Jack City,25,R,97,"Action, Crime, Drama",5.5,6.4,5.6,6.6,English,USA,8500000,47624253
tt0102558,Nothing But Trouble,25,PG-13,94,Comedy,4.8,4.8,5.8,4.8,English,USA,40000000,8479793
tt0102603,Oscar,25,PG,109,"Comedy, Crime",5.9,6.2,5.7,6.3,"English, Italian",USA,35000000,23562716
tt0102614,Out for Justice,25,R,91,"Action, Crime, Drama",5.5,5.2,5.3,6,"English, Italian, Spanish",USA,14000000,39673161
tt0102631,Paradise,25,PG-13,111,Drama,6.1,6.5,5.9,6.7,English,USA,34000000,18634643
tt0102685,Point Break,25,R,122,"Action, Crime, Thriller",7,6.1,5.6,7.2,English,"USA, Japan",24000000,83531958
tt0102687,Poison,25,NC-17,85,"Drama, Horror, Sci-Fi",7.1,6.5,6.6,6.5,English,USA,250000,609524
tt0102749,A Rage in Harlem,25,R,115,"Comedy, Crime",6.3,5.9,5.6,5.9,English,"UK, USA",8000000,10400000
tt0102753,Rambling Rose,25,R,112,Drama,6,6.7,6.2,6.7,English,USA,7500000,6266621
tt0102757,The Rapture,25,R,100,"Drama, Mystery",6.1,6.5,6.1,6.4,English,USA,1227401,1277401
tt0102782,Return to the Blue Lagoon,25,PG-13,102,"Adventure, Drama, Romance",5.7,4.8,5.3,5.1,English,USA,11000000,2807854
tt0102798,Robin Hood: Prince of Thieves,25,PG-13,143,"Action, Adventure, Drama",6.8,5.7,6.3,6.9,English,USA,48000000,390493908
tt0102802,Rock-A-Doodle,25,G,77,"Animation, Adventure, Comedy",6.1,5.7,5.9,6,English,"Ireland, UK, USA",18000000,11657385
tt0102803,The Rocketeer,25,PG,108,"Action, Adventure, Comedy",6.4,5.7,6.1,6.4,"English, German",USA,42000000,62000000
tt0102818,Run,25,R,91,"Action, Drama, Thriller",6.1,5.4,5.7,6.1,English,"USA, Canada",16000000,4409328
tt0102849,Scenes from a Mall,25,R,89,Comedy,5.7,5.5,6.1,5.3,English,USA,3000000,9563393
tt0102900,Shattered,25,R,98,"Crime, Mystery, Thriller",6.6,6.5,5.9,6.5,English,USA,22000000,11511031
tt0102915,Showdown in Little Tokyo,25,R,79,"Action, Comedy, Crime",4.3,6.1,5.1,6,"English, Japanese",USA,8000000,2275557
tt0102926,The Silence of the Lambs,25,R,118,"Crime, Drama, Thriller",6.6,6.9,7.7,8.6,English,USA,19000000,272742922
tt0102945,Sleeping with the Enemy,25,R,99,"Crime, Drama, Thriller",6,6.1,6,6.1,English,USA,19000000,174999005
tt0102975,Star Trek VI: The Undiscovered Country,25,PG,113,"Action, Adventure, Sci-Fi",6.3,6.7,6.4,7.2,"English, Klingon",USA,27000000,96900000
tt0103007,The Super,25,R,95,Comedy,4.9,5.4,6.2,5.4,"English, Spanish","USA, Japan",22000000,11000863
tt0103064,Terminator 2: Judgment Day,25,R,137,"Action, Sci-Fi",7.8,6.8,5.6,8.5,"English, Spanish","USA, France",100000000,520000000
tt0103074,Thelma & Louise,25,R,130,"Adventure, Crime, Drama",7,6.3,5.9,7.4,English,"USA, France",16000000,45361000
tt0103241,What About Bob?,25,PG,99,Comedy,6.4,6.5,6.2,7,English,USA,35000000,63710000
tt0103247,White Fang,25,PG,107,"Adventure, Drama",5.3,6.1,6,6.6,English,USA,14000000,34793160
tt0103594,1492: Conquest of Paradise,24,PG-13,154,"Adventure, Biography, Drama",7,6.5,6.1,6.5,English,"France, Spain",47000000,7191399
tt0103639,Aladdin,24,G,90,"Animation, Adventure, Comedy",7.4,7.5,6.7,8,English,USA,28000000,504050219
tt0103644,Alien?,24,R,114,"Horror, Sci-Fi",7.8,6.2,6.4,6.4,English,USA,50000000,159773545
tt0103759,Bad Lieutenant,24,R,96,"Crime, Drama",5.8,6.4,6,7.1,"English, Spanish",USA,1000000,2019469
tt0103772,Basic Instinct,24,R,127,"Drama, Mystery, Thriller",6.6,5.3,6,6.9,English,"France, USA",49000000,352927224
tt0103776,Batman Returns,24,PG-13,126,Action,7,6.2,6.2,7,English,"USA, UK",80000000,280000000
tt0103855,The Bodyguard,24,R,129,"Action, Drama, Music",6.8,6.5,6.2,6.1,"English, Japanese",USA,25000000,411006740
tt0103859,Boomerang,24,R,117,"Comedy, Drama, Romance",5.5,5.2,5.4,5.4,"English, French",USA,40000000,70100000
tt0103873,Dead Alive,24,R,104,"Comedy, Fantasy, Horror",7.8,7.9,6.9,7.6,"English, Spanish",New Zealand,3000000,242623
tt0103874,Dracula,24,R,128,"Horror, Romance",6.3,5.7,6.4,7.5,"English, Romanian, Greek, Bulgarian, Latin",USA,40000000,215862692
tt0103919,Candyman,24,R,99,"Drama, Fantasy, Horror",5.7,5.7,5.7,6.5,English,"USA, UK",6000000,25792310
tt0103924,Captain Ron,24,PG-13,90,"Adventure, Comedy",5.5,5.5,6.1,5.6,English,USA,24000000,22518097
tt0103956,Child's Play 3,25,R,90,"Fantasy, Horror, Thriller",6.1,5.3,5.1,4.9,English,"UK, USA",13000000,20560255
tt0103962,Christopher Columbus: The Discovery,24,PG-13,120,"Adventure, Biography, Drama",4.7,5.3,6.4,4.4,English,"UK, USA, Spain",40000000,8251071
tt0103976,City of Joy,24,PG-13,132,Drama,5.5,6.3,6.3,6.4,English,"France, UK",27000000,14683921
tt0103977,Claire of the Moon,24,UNRATED,107,"Drama, Romance",6,5.7,4.9,4.9,English,USA,130000,799674
tt0104006,Consenting Adults,24,R,99,"Crime, Drama, Mystery",6.3,6.1,6.3,5.7,English,USA,18000000,21591728
tt0104036,The Crying Game,24,R,112,"Crime, Drama, Romance",6.9,6.8,6,7.3,English,"UK, Japan",3705538,62548947
tt0104107,Diggstown,24,R,98,"Drama, Sport",5.8,6.1,6,7,English,USA,17000000,4836637
tt0104109,Dingo,25,PG,109,"Drama, Music",6.9,5.6,6.5,7,English,"Australia, France",200000,300000
tt0104215,Excessive Force,23,R,87,Action,4.3,4.7,5.3,5.1,English,USA,3000000,1200000
tt0104231,Far and Away,24,PG-13,140,"Adventure, Drama, Romance",6.9,6.3,6.4,6.5,English,USA,60000000,137783840
tt0104257,A Few Good Men,24,R,138,"Drama, Thriller",6.6,7.5,6.6,7.6,English,USA,40000000,243240178
tt0104348,Glengarry Glen Ross,24,R,100,Drama,6.4,6.7,6.5,7.8,English,USA,12500000,10725228
tt0104376,The Gun in Betty Lou's Handbag,24,PG-13,89,"Comedy, Mystery",5.5,6,6.1,5,English,USA,13000000,3721911
tt0104389,The Hand That Rocks the Cradle,24,R,110,"Drama, Thriller",6.9,6.8,5.5,6.5,English,USA,11700000,88036683
tt0104409,Hellraiser III: Hell on Earth,24,R,93,Horror,4.9,4.9,5,5.4,English,"USA, Canada",5000000,12534961
tt0104431,Home Alone 2: Lost in New York,24,PG,120,"Adventure, Comedy, Family",6.5,4.9,6.2,6.6,"English, French",USA,18000000,358991681
tt0104437,Honey I Blew Up the Kid,24,PG,89,"Adventure, Comedy, Family",5.3,4.8,5.1,4.7,English,USA,40000000,58662452
