imdbID,budget,revnue
tt0101609,0,0
tt0101616,0,0
tt0101631,0,0
tt0101632,0,0
tt0101638,0,0
tt0101644,0,0
tt0101645,0,0
tt0101648,0,0
tt0101649,0,0
tt0101650,NF,NF
tt0101666,0,0
tt0101671,0,0
tt0101674,0,0
tt0101680,NF,NF
tt0101686,0,0
tt0101687,NF,NF
tt0101691,0,0
tt0101696,NF,NF
tt0101697,0,0
tt0101706,0,0
tt0101723,0,0
tt0101724,0,0
tt0101732,0,0
tt0101734,0,0
tt0101739,0,0
tt0101740,0,0
tt0101755,0,0
tt0101760,0,0
tt0101766,0,0
tt0101772,0,0
tt0101783,0,0
tt0101788,NF,NF
tt0101793,0,0
tt0101805,0,0
tt0101835,0,0
tt0101836,0,0
tt0101837,0,0
tt0101838,0,0
tt0101850,0,0
tt0101854,0,0
tt0101864,0,0
tt0101877,0,0
tt0101878,NF,NF
tt0101881,NF,NF
tt0101885,0,0
tt0101903,NF,NF
tt0101911,0,0
tt0101920,0,0
tt0101923,0,0
tt0101927,0,0
tt0101928,0,0
tt0101933,0,0
tt0101950,0,0
tt0101956,0,0
tt0101959,0,0
tt0101960,0,0
tt0101961,0,0
tt0101962,0,0
tt0101970,0,0
tt0101985,0,0
tt0101986,0,0
tt0101995,0,0
tt0101996,0,0
tt0101999,0,0
tt0102000,0,0
tt0102006,NF,NF
tt0102007,0,0
tt0102024,NF,NF
tt0102025,0,0
tt0102028,0,0
tt0102031,NF,NF
tt0102047,0,0
tt0102054,NF,NF
tt0102055,0,0
tt0102058,0,0
tt0102066,NF,NF
tt0102068,0,0
tt0102071,0,0
tt0102081,0,0
tt0102084,0,0
tt0102089,NF,NF
tt0102106,0,0
tt0102109,0,0
tt0102113,NF,NF
tt0102121,0,0
tt0102129,0,0
tt0102130,0,0
tt0102131,0,0
tt0102136,0,0
tt0102137,0,0
tt0102142,0,0
tt0102153,0,0
tt0102155,0,0
tt0102157,0,0
tt0102158,0,0
tt0102165,0,0
tt0102166,0,0
tt0102177,0,0
tt0102180,0,0
tt0102183,0,0
tt0102184,0,0
tt0102185,0,0
tt0102190,0,0
tt0102192,0,0
tt0102195,0,0
tt0102203,NF,NF
tt0102206,0,0
tt0102210,0,0
tt0102214,0,0
tt0102218,0,0
tt0102227,0,0
tt0102234,0,0
tt0102236,NF,NF
tt0102237,0,0
tt0102240,0,0
tt0102247,0,0
tt0102253,NF,NF
tt0102258,0,0
tt0102269,0,0
tt0102272,NF,NF
tt0102277,NF,NF
tt0102286,0,0
tt0102311,NF,NF
tt0102317,0,0
tt0102318,0,0
tt0102319,0,0
tt0102323,NF,NF
tt0102339,NF,NF
tt0102348,0,0
tt0102358,0,0
tt0102360,0,0
tt0102365,0,0
tt0102367,0,0
tt0102371,0,0
tt0102383,0,0
tt0102386,0,0
tt0102396,0,0
tt0102397,0,0
tt0102401,0,0
tt0102403,0,0
tt0102404,0,0
tt0102407,NF,NF
tt0102415,0,0
tt0102421,0,0
tt0102431,0,0
tt0102436,0,0
tt0102439,0,0
tt0102444,NF,NF
tt0102452,0,0
tt0102455,0,0
tt0102465,0,0
tt0102468,0,0
tt0102471,0,0
tt0102475,0,0
tt0102477,0,0
tt0102478,0,0
tt0102480,0,0
tt0102485,0,0
tt0102487,0,0
tt0102488,0,0
tt0102491,0,0
tt0102505,NF,NF
tt0102508,NF,NF
tt0102520,0,0
tt0102521,0,0
tt0102522,0,0
tt0102524,NF,NF
tt0102525,0,0
tt0102533,0,0
tt0102537,0,0
tt0102539,0,0
tt0102552,0,0
tt0102556,0,0
tt0102557,0,0
tt0102562,0,0
tt0102566,0,0
tt0102569,40000,0
tt0102571,0,0
tt0102579,0,0
tt0102585,0,0
tt0102589,0,0
tt0102596,NF,NF
tt0102597,0,0
tt0102604,0,0
tt0102613,0,0
tt0102618,0,0
tt0102619,0,0
tt0102624,0,0
tt0102629,0,0
tt0102639,0,0
tt0102653,0,0
tt0102654,NF,NF
tt0102658,0,0
tt0102659,0,0
tt0102660,0,0
tt0102661,0,0
tt0102663,NF,NF
tt0102664,0,0
tt0102667,0,0
tt0102668,0,0
tt0102671,0,0
tt0102680,NF,NF
tt0102681,0,0
tt0102693,0,0
tt0102695,0,0
tt0102697,0,0
